,epoch,batch_id,batch_num,learning_rate,loss_id_x,loss_id_y,loss_identity,loss_gan_y2x,loss_gan_x2y,loss_gan,loss_cycle_x,loss_cycle_y,loss_cycle,loss_generation,loss_disc_real_x,loss_disc_fake_x,loss_disc_real_y,loss_disc_fake_y,loss_disc
0,168.0,0.0,16.0,6.4e-05,0.6731972694396973,0.6902217864990234,0.6817095279693604,0.3795810639858246,0.5353847742080688,0.4574829339981079,0.09687037765979767,0.12544837594032288,0.11115937680006027,1.569076657295227,0.045961976051330566,0.20610345900058746,0.06299658119678497,0.08596334606409073,0.10025633871555328
1,168.0,1.0,16.0,6.4e-05,0.6275286078453064,0.7225956916809082,0.6750621795654297,0.7351661920547485,0.5532580614089966,0.6442121267318726,0.09406541287899017,0.12358137965202332,0.10882339626550674,1.7324460744857788,0.13151267170906067,0.06628727912902832,0.08010260760784149,0.10798163712024689,0.09647104889154434
2,168.0,2.0,16.0,6.4e-05,0.6923618316650391,0.7452706694602966,0.7188162803649902,0.7002885341644287,0.6392701268196106,0.6697793006896973,0.09843059629201889,0.1241261214017868,0.11127835512161255,1.7825628519058228,0.12815047800540924,0.05936583876609802,0.1316373348236084,0.0871533751487732,0.10157676041126251
3,168.0,3.0,16.0,6.4e-05,0.5870542526245117,0.6578565835952759,0.6224554181098938,0.3966190218925476,0.503912627696991,0.4502658247947693,0.10141067206859589,0.12795868515968323,0.11468467861413956,1.5971126556396484,0.03867723047733307,0.16758081316947937,0.09298064559698105,0.10963866859674454,0.1022193431854248
4,168.0,4.0,16.0,6.4e-05,0.6978132724761963,0.677919328212738,0.6878663301467896,0.6932254433631897,0.623846709728241,0.6585360765457153,0.0922306478023529,0.12813790142536163,0.11018427461385727,1.7603788375854492,0.10849963873624802,0.06648345291614532,0.08534570783376694,0.08621817827224731,0.0866367444396019
5,168.0,5.0,16.0,6.4e-05,0.7041574716567993,0.7601337432861328,0.7321456074714661,0.6257284879684448,0.5813112258911133,0.603519856929779,0.09361422061920166,0.13375893235206604,0.11368657648563385,1.7403855323791504,0.12228705734014511,0.06949551403522491,0.07681496441364288,0.08717885613441467,0.08894409239292145
6,168.0,6.0,16.0,6.4e-05,0.6148618459701538,0.786371111869812,0.7006164789199829,0.4353996515274048,0.5833399295806885,0.5093697905540466,0.1046796441078186,0.13084983825683594,0.11776474118232727,1.6870172023773193,0.072114497423172,0.15563222765922546,0.11731765419244766,0.08218224346637726,0.10681165754795074
7,168.0,7.0,16.0,6.4e-05,0.6198570728302002,0.6698869466781616,0.6448720097541809,0.5697515606880188,0.5370910167694092,0.5534212589263916,0.09702852368354797,0.13022461533546448,0.11362656950950623,1.6896870136260986,0.12117046117782593,0.09899172186851501,0.08913543820381165,0.10851223766803741,0.1044524610042572
8,168.0,8.0,16.0,6.4e-05,0.6750515699386597,0.741716742515564,0.7083841562271118,0.5968970060348511,0.5752936601638794,0.5860953330993652,0.09356125444173813,0.13291412591934204,0.11323769390583038,1.7184722423553467,0.12647125124931335,0.08444902300834656,0.08225873112678528,0.09094434976577759,0.0960308387875557
9,168.0,9.0,16.0,6.4e-05,0.6320698261260986,0.713822066783905,0.6729459762573242,0.5094598531723022,0.5844070315361023,0.5469334125518799,0.10086905211210251,0.12115194648504257,0.11101049929857254,1.6570384502410889,0.08945871144533157,0.10376597195863724,0.0954948365688324,0.09914690256118774,0.09696660935878754
